time;V(in);V(n);V(n.p);V(p)
3.013228890134463e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
3.015505717173604e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
3.019655161064953e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
3.023408858590832e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
3.036037929059436e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
3.100923135622374e-05;2.798154e+00;3.899217e+00;2.798649e+00;1.100568e+00
3.165808342185313e-05;2.668383e+00;3.834328e+00;2.668881e+00;1.165447e+00
3.230693548748251e-05;2.538613e+00;3.769438e+00;2.539114e+00;1.230324e+00
3.295578755311190e-05;2.408842e+00;3.704545e+00;2.409347e+00;1.295198e+00
3.360463961874128e-05;2.279072e+00;3.639651e+00;2.279582e+00;1.360070e+00
3.425349168437067e-05;2.149302e+00;3.574756e+00;2.149817e+00;1.424938e+00
3.490234375000006e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
3.500000000000006e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
3.500028170073401e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
3.500084510220192e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
3.500197190513773e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
3.500360618205833e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
3.500552403927049e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
3.500762546019627e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
3.501003538950089e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
3.501251642409828e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
3.501576595303634e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
3.501978004755676e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
3.502380162018663e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
3.503168507835158e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
3.503615902786420e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
3.504080774612401e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
3.504713864351224e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
3.506607704487775e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
3.507686309442901e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492857e+00
3.508925848325341e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
3.510262185352493e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
3.511842800254039e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
3.513750752274821e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
3.517027646978090e-05;2.034055e+00;3.516656e+00;2.033342e+00;1.483313e+00
3.521124045166955e-05;2.042248e+00;3.520767e+00;2.041568e+00;1.479199e+00
3.525155335435254e-05;2.050311e+00;3.524804e+00;2.049644e+00;1.475160e+00
3.546905446755924e-05;2.093811e+00;3.546554e+00;2.093149e+00;1.453404e+00
3.568655558076595e-05;2.137311e+00;3.568303e+00;2.136653e+00;1.431650e+00
3.590405669397265e-05;2.180811e+00;3.590052e+00;2.180156e+00;1.409896e+00
3.612155780717935e-05;2.224311e+00;3.611801e+00;2.223658e+00;1.388143e+00
3.633905892038605e-05;2.267812e+00;3.633550e+00;2.267159e+00;1.366391e+00
3.655656003359276e-05;2.311312e+00;3.655298e+00;2.310658e+00;1.344640e+00
3.677406114679946e-05;2.354812e+00;3.677047e+00;2.354157e+00;1.322889e+00
4.000000000000006e-05;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
4.000026574815944e-05;2.999947e+00;3.999674e+00;2.999390e+00;1.000284e+00
4.000079724447819e-05;2.999840e+00;3.999727e+00;2.999499e+00;1.000227e+00
4.000186023711570e-05;2.999628e+00;3.999829e+00;2.999714e+00;1.000115e+00
4.000349438934660e-05;2.999301e+00;3.999974e+00;3.000019e+00;9.999552e-01
4.000543420717113e-05;2.998913e+00;4.000114e+00;3.000316e+00;9.997983e-01
4.000753512566621e-05;2.998493e+00;4.000206e+00;3.000516e+00;9.996898e-01
4.000995866653014e-05;2.998008e+00;4.000217e+00;3.000558e+00;9.996598e-01
4.001240078567347e-05;2.997520e+00;4.000116e+00;3.000372e+00;9.997439e-01
4.001563360865308e-05;2.996873e+00;3.999829e+00;2.999818e+00;1.000011e+00
4.001958202100960e-05;2.996083e+00;3.999325e+00;2.998831e+00;1.000494e+00
4.002484628148722e-05;2.995031e+00;3.998543e+00;2.997287e+00;1.001256e+00
4.002908377275721e-05;2.994183e+00;3.997910e+00;2.996035e+00;1.001875e+00
4.003307011050584e-05;2.993386e+00;3.997362e+00;2.994945e+00;1.002416e+00
4.003637018993523e-05;2.992726e+00;3.996955e+00;2.994137e+00;1.002819e+00
4.004022482275752e-05;2.991955e+00;3.996525e+00;2.993279e+00;1.003246e+00
4.004391509616954e-05;2.991217e+00;3.996137e+00;2.992505e+00;1.003632e+00
4.007120497805712e-05;2.985759e+00;3.993254e+00;2.986742e+00;1.006513e+00
4.008174083230121e-05;2.983652e+00;3.992143e+00;2.984516e+00;1.007627e+00
4.009427205685483e-05;2.981146e+00;3.990845e+00;2.981919e+00;1.008927e+00
4.011218792815563e-05;2.977562e+00;3.989011e+00;2.978246e+00;1.010765e+00
4.013228890125446e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
4.015505717129248e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
4.019655161065787e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
4.023408858550877e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
4.036037928979701e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
4.100923135554030e-05;2.798154e+00;3.899217e+00;2.798649e+00;1.100568e+00
4.165808342128359e-05;2.668383e+00;3.834328e+00;2.668881e+00;1.165447e+00
4.230693548702689e-05;2.538613e+00;3.769438e+00;2.539114e+00;1.230324e+00
4.295578755277019e-05;2.408842e+00;3.704545e+00;2.409347e+00;1.295198e+00
4.360463961851349e-05;2.279072e+00;3.639651e+00;2.279582e+00;1.360070e+00
4.425349168425678e-05;2.149302e+00;3.574756e+00;2.149817e+00;1.424938e+00
4.490234375000007e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
4.500000000000008e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
4.500028170073377e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
4.500084510220115e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
4.500197190513593e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
4.500360618205608e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
4.500552403926804e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
4.500762546019350e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
4.501003538949775e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
4.501251642409359e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
4.501576595303040e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
4.501978004754804e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
4.502380162017885e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
4.503168507834181e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
4.503615902785439e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
4.504080774611155e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
4.504713864349283e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
4.506607704485236e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
4.507686309437713e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492857e+00
4.508925848316508e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
4.510262185342668e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
4.511842800243892e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
4.513750752265214e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
4.517027646941476e-05;2.034055e+00;3.516656e+00;2.033342e+00;1.483313e+00
4.521124045143641e-05;2.042248e+00;3.520767e+00;2.041568e+00;1.479199e+00
4.525155335398773e-05;2.050311e+00;3.524804e+00;2.049644e+00;1.475160e+00
4.546905446714413e-05;2.093811e+00;3.546554e+00;2.093149e+00;1.453404e+00
4.568655558030052e-05;2.137311e+00;3.568303e+00;2.136653e+00;1.431650e+00
4.590405669345692e-05;2.180811e+00;3.590052e+00;2.180156e+00;1.409896e+00
4.612155780661332e-05;2.224311e+00;3.611801e+00;2.223658e+00;1.388143e+00
4.633905891976972e-05;2.267812e+00;3.633550e+00;2.267159e+00;1.366391e+00
4.655656003292611e-05;2.311312e+00;3.655298e+00;2.310658e+00;1.344640e+00
4.677406114608251e-05;2.354812e+00;3.677047e+00;2.354157e+00;1.322889e+00
5.000000000000008e-05;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
5.000026574816743e-05;2.999947e+00;3.999674e+00;2.999390e+00;1.000284e+00
5.000079724450213e-05;2.999840e+00;3.999727e+00;2.999499e+00;1.000227e+00
5.000186023717155e-05;2.999628e+00;3.999829e+00;2.999714e+00;1.000115e+00
5.000349438940764e-05;2.999301e+00;3.999974e+00;3.000019e+00;9.999552e-01
5.000543420721962e-05;2.998913e+00;4.000114e+00;3.000316e+00;9.997983e-01
5.000753512571688e-05;2.998493e+00;4.000206e+00;3.000516e+00;9.996898e-01
5.000995866657616e-05;2.998008e+00;4.000217e+00;3.000558e+00;9.996598e-01
5.001240078573664e-05;2.997520e+00;4.000116e+00;3.000372e+00;9.997439e-01
5.001563360872514e-05;2.996873e+00;3.999829e+00;2.999818e+00;1.000011e+00
5.001958202111737e-05;2.996083e+00;3.999325e+00;2.998831e+00;1.000494e+00
5.002484628157905e-05;2.995031e+00;3.998543e+00;2.997287e+00;1.001256e+00
5.002908377281317e-05;2.994183e+00;3.997910e+00;2.996035e+00;1.001875e+00
5.003307011055991e-05;2.993386e+00;3.997362e+00;2.994945e+00;1.002416e+00
5.003637018999143e-05;2.992726e+00;3.996955e+00;2.994137e+00;1.002819e+00
5.004022482281286e-05;2.991955e+00;3.996525e+00;2.993279e+00;1.003246e+00
5.004391509623527e-05;2.991217e+00;3.996137e+00;2.992505e+00;1.003632e+00
5.007120497818916e-05;2.985759e+00;3.993254e+00;2.986742e+00;1.006513e+00
5.008174083244243e-05;2.983652e+00;3.992143e+00;2.984516e+00;1.007627e+00
5.009427205698593e-05;2.981146e+00;3.990845e+00;2.981919e+00;1.008927e+00
5.011218792855719e-05;2.977562e+00;3.989011e+00;2.978246e+00;1.010765e+00
5.013228890133723e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
5.015505717181421e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
5.019655161060963e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
5.023408858596556e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
5.036037929077970e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
5.100923135638261e-05;2.798154e+00;3.899217e+00;2.798649e+00;1.100568e+00
5.165808342198553e-05;2.668383e+00;3.834328e+00;2.668881e+00;1.165447e+00
5.230693548758844e-05;2.538613e+00;3.769438e+00;2.539114e+00;1.230324e+00
5.295578755319135e-05;2.408842e+00;3.704545e+00;2.409347e+00;1.295198e+00
5.360463961879427e-05;2.279072e+00;3.639651e+00;2.279582e+00;1.360070e+00
5.425349168439718e-05;2.149302e+00;3.574756e+00;2.149817e+00;1.424938e+00
5.490234375000009e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
5.500000000000010e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
5.500028170073392e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
5.500084510220155e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
5.500197190513682e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
5.500360618205650e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
5.500552403926914e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
5.500762546019500e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
5.501003538949945e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
5.501251642409582e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
5.501576595303297e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
5.501978004755155e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
5.502380162018206e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
5.503168507834582e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
5.503615902785858e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
5.504080774611633e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
5.504713864349990e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
5.506607704486266e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
5.507686309439489e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492857e+00
5.508925848319123e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
5.510262185345464e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
5.511842800246363e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
5.513750752266992e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
5.517027646951343e-05;2.034055e+00;3.516656e+00;2.033342e+00;1.483313e+00
5.521124045148325e-05;2.042248e+00;3.520767e+00;2.041568e+00;1.479199e+00
5.525155335406676e-05;2.050311e+00;3.524804e+00;2.049644e+00;1.475160e+00
5.546905446722109e-05;2.093811e+00;3.546554e+00;2.093149e+00;1.453404e+00
5.568655558037543e-05;2.137311e+00;3.568303e+00;2.136653e+00;1.431650e+00
5.590405669352976e-05;2.180811e+00;3.590052e+00;2.180156e+00;1.409896e+00
5.612155780668409e-05;2.224311e+00;3.611801e+00;2.223658e+00;1.388143e+00
5.633905891983843e-05;2.267812e+00;3.633550e+00;2.267159e+00;1.366391e+00
5.655656003299276e-05;2.311312e+00;3.655298e+00;2.310658e+00;1.344640e+00
5.677406114614709e-05;2.354812e+00;3.677047e+00;2.354157e+00;1.322889e+00
6.000000000000010e-05;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
6.000026574816673e-05;2.999947e+00;3.999674e+00;2.999390e+00;1.000284e+00
6.000079724450001e-05;2.999840e+00;3.999727e+00;2.999499e+00;1.000227e+00
6.000186023716656e-05;2.999628e+00;3.999829e+00;2.999714e+00;1.000115e+00
6.000349438940209e-05;2.999301e+00;3.999974e+00;3.000019e+00;9.999552e-01
6.000543420721529e-05;2.998913e+00;4.000114e+00;3.000316e+00;9.997983e-01
6.000753512571242e-05;2.998493e+00;4.000206e+00;3.000516e+00;9.996898e-01
6.000995866657213e-05;2.998008e+00;4.000217e+00;3.000558e+00;9.996598e-01
6.001240078573113e-05;2.997520e+00;4.000116e+00;3.000372e+00;9.997439e-01
6.001563360871882e-05;2.996873e+00;3.999829e+00;2.999818e+00;1.000011e+00
6.001958202110806e-05;2.996083e+00;3.999325e+00;2.998831e+00;1.000494e+00
6.002484628157110e-05;2.995031e+00;3.998543e+00;2.997287e+00;1.001256e+00
6.002908377280834e-05;2.994183e+00;3.997910e+00;2.996035e+00;1.001875e+00
6.003307011055530e-05;2.993386e+00;3.997362e+00;2.994945e+00;1.002416e+00
6.003637018998645e-05;2.992726e+00;3.996955e+00;2.994137e+00;1.002819e+00
6.004022482280806e-05;2.991955e+00;3.996525e+00;2.993279e+00;1.003246e+00
6.004391509622938e-05;2.991217e+00;3.996137e+00;2.992505e+00;1.003632e+00
6.007120497817741e-05;2.985759e+00;3.993254e+00;2.986742e+00;1.006513e+00
6.008174083243485e-05;2.983652e+00;3.992143e+00;2.984516e+00;1.007627e+00
6.009427205698520e-05;2.981146e+00;3.990845e+00;2.981919e+00;1.008927e+00
6.011218792853226e-05;2.977562e+00;3.989011e+00;2.978246e+00;1.010765e+00
6.013228890136020e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
6.015505717177970e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
6.019655161066915e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
6.023408858596354e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
6.036037929070156e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
6.097400161165524e-05;2.805200e+00;3.902740e+00;2.805695e+00;1.097045e+00
6.158762393260891e-05;2.682475e+00;3.841375e+00;2.682972e+00;1.158402e+00
6.220124625356258e-05;2.559751e+00;3.780008e+00;2.560251e+00;1.219757e+00
6.281486857451626e-05;2.437026e+00;3.718639e+00;2.437530e+00;1.281109e+00
6.342849089546993e-05;2.314302e+00;3.657269e+00;2.314810e+00;1.342459e+00
6.404211321642362e-05;2.191577e+00;3.595897e+00;2.192091e+00;1.403806e+00
6.465573553737729e-05;2.068853e+00;3.534523e+00;2.069373e+00;1.465150e+00
6.475339178737729e-05;2.049322e+00;3.524756e+00;2.049843e+00;1.474913e+00
6.500000000000012e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
6.500028170073396e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
6.500084510220163e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
6.500197190513700e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
6.500360618205648e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
6.500552403926975e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
6.500762546019532e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
6.501003538949989e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
6.501251642409581e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
6.501576595303269e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
